Random-Continuous.parameter, Random-Continuous.points, AlwaysSame.parameter, AlwaysSame.points
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
0, 5.00, 0, 20.00
1, 4.90, 0, 20.20
1, 4.70, 0, 20.60
1, 5.05, 0, 19.90
1, 5.15, 0, 19.70
1, 4.95, 0, 20.10
1, 4.90, 0, 20.20
1, 5.15, 0, 19.70
1, 5.05, 0, 19.90
1, 4.90, 0, 20.20
1, 4.95, 0, 20.10
1, 4.85, 0, 20.30
1, 5.05, 0, 19.90
1, 5.00, 0, 20.00
1, 5.10, 0, 19.80
1, 5.20, 0, 19.60
1, 4.95, 0, 20.10
1, 5.00, 0, 20.00
1, 5.15, 0, 19.70
1, 4.95, 0, 20.10
1, 4.80, 0, 20.40
1, 5.20, 0, 19.60
1, 4.80, 0, 20.40
